Experiment,Hypothesis,Dimension,Test,Statistic,p-value,α threshold,Decision,Conclusion
154-class,H0G,Accuracy,Cochran's Q,Q = 95.912,0.0000,0.05,Reject H₀,"Significant differences in accuracy exist across models (Q=95.91, p=0.0000). H0G rejected for the accuracy dimension in the 154-class experiment."
154-class,H0G,Latency,Kruskal-Wallis,H = 374.065,0.0000,0.05,Reject H₀,"Significant latency differences exist across models (H=374.06, p=0.0000). H0G rejected for the latency dimension in the 154-class experiment."
154-class,H0-1 (CIF vs InceptionTime),Accuracy,McNemar's (mid-p) + Bonferroni,χ² = 64.324,0.0000,0.0083,Reject H₀,"InceptionTime outperforms CIF significantly in accuracy (McNemar χ²=64.32, p=0.0000, Cohen's h=0.723 [large]). H1-1 accuracy prediction not supported — CIF does not achieve higher accuracy."
154-class,H0-1 (CIF vs InceptionTime),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"InceptionTime has significantly lower latency (Mann-Whitney U=0, p=0.0000, Cliff's δ=-1.000 [large]). CIF latency claim not supported."
154-class,H0-1 (CIF vs Random Forest),Accuracy,McNemar's (mid-p) + Bonferroni,χ² = 29.785,0.0000,0.0083,Reject H₀,"Random Forest outperforms CIF significantly in accuracy (McNemar χ²=29.78, p=0.0000, Cohen's h=0.449 [medium]). H1-1 accuracy prediction not supported — CIF does not achieve higher accuracy."
154-class,H0-1 (CIF vs Random Forest),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"Random Forest has significantly lower latency (Mann-Whitney U=0, p=0.0000, Cliff's δ=-1.000 [large]). CIF latency claim not supported."
154-class,H0-1 (CIF vs Logistic Regression),Accuracy,McNemar's (mid-p) + Bonferroni,χ² = 42.750,0.0000,0.0083,Reject H₀,"Logistic Regression outperforms CIF significantly in accuracy (McNemar χ²=42.75, p=0.0000, Cohen's h=0.550 [large]). H1-1 accuracy prediction not supported — CIF does not achieve higher accuracy."
154-class,H0-1 (CIF vs Logistic Regression),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"Logistic Regression has significantly lower latency (Mann-Whitney U=0, p=0.0000, Cliff's δ=-1.000 [large]). CIF latency claim not supported."
154-class,H0-2 (InceptionTime vs CIF),Accuracy,McNemar (mid-p) + Bonferroni,χ² = 64.324,0.0000,0.0083,Reject H₀,"InceptionTime significantly outperforms CIF in accuracy (McNemar χ²=64.32, p=0.0000, Cohen's h=0.723 [large]). Accuracy prediction of H1-2 supported."
154-class,H0-2 (InceptionTime vs CIF),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"InceptionTime has significantly lower latency (U=0, p=0.0000, Cliff's δ=-1.000 [large]). H1-2 latency prediction not supported — InceptionTime is faster than CIF, a stronger result than hypothesised."
154-class,H0-3 (RF vs InceptionTime),Accuracy,McNemar (mid-p) + Bonferroni,χ² = 17.280,0.0000,0.0083,Reject H₀,"Random Forest has significantly lower accuracy than InceptionTime (McNemar χ²=17.28, p=0.0000, Cohen's h=0.273 [medium]). H1-3 accuracy prediction vs InceptionTime supported (RF < InceptionTime)."
154-class,H0-3 (RF vs InceptionTime),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"Random Forest is significantly slower than InceptionTime (U=0, p=0.0000, Cliff's δ=-1.000 [large]). H1-3 efficiency prediction vs InceptionTime not supported."
154-class,H0-3 (RF vs CIF),Accuracy,McNemar (mid-p) + Bonferroni,χ² = 29.785,0.0000,0.0083,Reject H₀,"Random Forest does not have significantly lower accuracy than CIF (McNemar χ²=29.78, p=0.0000, Cohen's h=0.449 [medium]). H1-3 accuracy prediction vs CIF not supported (RF ≥ CIF)."
154-class,H0-3 (RF vs CIF),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"Random Forest is significantly faster than CIF (U=0, p=0.0000, Cliff's δ=-1.000 [large]). H1-3 efficiency prediction vs CIF supported."
154-class,H0-4 (LR vs InceptionTime),Accuracy,McNemar (mid-p) + Bonferroni,χ² = 6.961,0.0059,0.0083,Reject H₀,"Logistic Regression has significantly lower accuracy than InceptionTime (McNemar χ²=6.96, p=0.0059, Cohen's h=0.172 [small]). H1-4 lowest-accuracy prediction vs InceptionTime supported."
154-class,H0-4 (LR vs InceptionTime),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"Logistic Regression is significantly slower than InceptionTime (U=0, p=0.0000, Cliff's δ=-1.000 [large]). H1-4 highest-efficiency prediction vs InceptionTime not supported."
154-class,H0-4 (LR vs Random Forest),Accuracy,McNemar (mid-p) + Bonferroni,χ² = 2.824,0.0704,0.0083,Fail to reject H₀,"Logistic Regression does not have significantly lower accuracy than Random Forest (McNemar χ²=2.82, p=0.0704, Cohen's h=-0.101 [small]). H1-4 lowest-accuracy prediction vs Random Forest not supported."
154-class,H0-4 (LR vs Random Forest),Latency,Mann-Whitney U + Bonferroni,U = 10000,0.0000,0.0083,Reject H₀,"Logistic Regression is significantly faster than Random Forest (U=10000, p=0.0000, Cliff's δ=1.000 [large]). H1-4 highest-efficiency prediction vs Random Forest supported."
154-class,H0-4 (LR vs CIF),Accuracy,McNemar (mid-p) + Bonferroni,χ² = 42.750,0.0000,0.0083,Reject H₀,"Logistic Regression does not have significantly lower accuracy than CIF (McNemar χ²=42.75, p=0.0000, Cohen's h=0.550 [large]). H1-4 lowest-accuracy prediction vs CIF not supported."
154-class,H0-4 (LR vs CIF),Latency,Mann-Whitney U + Bonferroni,U = 0,0.0000,0.0083,Reject H₀,"Logistic Regression is significantly faster than CIF (U=0, p=0.0000, Cliff's δ=-1.000 [large]). H1-4 highest-efficiency prediction vs CIF supported."
